timestamp,aqi,pm2_5,pm10,no2,so2,co,no,o3,nh3,hour,day,month,aqi_change_rate
2025-02-10 00:00:00,5.0,651.12,790.71,183.7,20.74,9078.98,92.09,0.0,54.72,0,10,2,
2025-02-10 01:00:00,5.0,594.8,725.31,152.17,14.66,7797.24,75.1,0.0,34.45,1,10,2,0.0
2025-02-10 02:00:00,5.0,519.39,642.21,113.79,10.49,6141.66,50.51,0.0,23.81,2,10,2,0.0
2025-02-10 03:00:00,5.0,426.2,542.27,76.09,7.75,4379.27,29.06,0.0,19.0,3,10,2,0.0
2025-02-10 04:00:00,5.0,366.21,473.09,53.47,6.62,3257.75,18.33,0.01,17.73,4,10,2,0.0
2025-02-10 05:00:00,5.0,334.55,429.67,41.13,6.38,2696.99,14.31,0.02,16.21,5,10,2,0.0
2025-02-10 06:00:00,5.0,321.45,403.87,33.93,6.68,2536.77,15.65,0.02,14.06,6,10,2,0.0
2025-02-10 07:00:00,5.0,358.13,437.88,35.64,9.78,3231.05,35.32,0.0,13.68,7,10,2,0.0
2025-02-10 08:00:00,5.0,430.67,511.47,43.18,12.87,4646.3,75.1,0.42,13.17,8,10,2,0.0
2025-02-10 09:00:00,5.0,494.72,575.86,50.72,15.02,5874.63,105.5,3.13,17.73,9,10,2,0.0
2025-02-10 10:00:00,5.0,555.12,640.92,82.25,18.36,6835.94,106.39,10.64,34.45,10,10,2,0.0
2025-02-10 11:00:00,5.0,643.97,736.76,154.91,22.65,7904.05,73.31,38.98,47.12,11,10,2,0.0
2025-02-10 12:00:00,5.0,365.61,413.7,111.04,70.57,3952.03,15.2,137.33,22.55,12,10,2,0.0
2025-02-10 13:00:00,5.0,378.18,423.71,104.19,90.6,3738.4,9.28,200.27,19.76,13,10,2,0.0
2025-02-10 14:00:00,5.0,434.71,483.38,105.56,97.27,4058.84,5.92,263.21,19.76,14,10,2,0.0
2025-02-10 15:00:00,5.0,475.04,527.78,108.3,86.78,4325.87,3.8,283.24,20.77,15,10,2,0.0
2025-02-10 16:00:00,5.0,490.46,549.37,112.41,67.71,4486.08,2.35,251.77,23.81,16,10,2,0.0
2025-02-10 17:00:00,5.0,470.09,534.47,119.27,51.98,4379.27,0.85,191.69,27.61,17,10,2,0.0
2025-02-10 18:00:00,5.0,404.78,473.71,102.82,34.81,3631.59,0.05,123.02,31.66,18,10,2,0.0
2025-02-10 19:00:00,5.0,347.77,418.79,82.94,21.93,2964.02,0.0,74.39,38.5,19,10,2,0.0
2025-02-10 20:00:00,5.0,328.12,397.4,65.8,14.9,2670.29,0.0,47.21,42.56,20,10,2,0.0
2025-02-10 21:00:00,5.0,330.27,395.82,55.52,11.68,2643.59,0.37,22.71,38.0,21,10,2,0.0
2025-02-10 22:00:00,5.0,342.35,406.04,48.67,11.09,2857.21,5.25,2.91,34.45,22,10,2,0.0
2025-02-10 23:00:00,5.0,331.89,389.7,41.13,10.01,2857.21,10.62,0.36,29.89,23,10,2,0.0
2025-02-11 00:00:00,5.0,293.06,339.55,39.07,7.63,2563.48,8.94,0.48,21.53,0,11,2,0.0
2025-02-11 01:00:00,5.0,259.66,299.17,34.96,6.26,2243.04,5.31,1.31,16.97,1,11,2,0.0
2025-02-11 02:00:00,5.0,241.66,279.95,30.5,5.72,2029.42,2.99,2.46,16.47,2,11,2,0.0
2025-02-11 03:00:00,5.0,239.82,281.57,28.79,5.48,1976.01,2.49,2.66,16.72,3,11,2,0.0
2025-02-11 04:00:00,5.0,242.12,287.33,28.45,5.01,2002.72,2.24,2.79,13.81,4,11,2,0.0
2025-02-11 05:00:00,5.0,242.19,289.96,30.16,4.83,2056.12,1.96,3.35,11.4,5,11,2,0.0
2025-02-11 06:00:00,5.0,243.34,288.73,34.27,5.25,2189.64,2.01,3.84,10.77,6,11,2,0.0
2025-02-11 07:00:00,5.0,272.02,319.3,41.13,7.57,2696.99,11.96,0.38,15.07,7,11,2,0.0
2025-02-11 08:00:00,5.0,269.65,316.29,44.55,9.78,3044.13,24.81,0.94,19.51,8,11,2,0.0
2025-02-11 09:00:00,5.0,151.24,181.86,45.24,10.97,2082.82,11.06,17.52,19.0,9,11,2,0.0
